ID,ID_USER,ID_ASSESSMENT,ID_CLASS,YEAR,SEMESTER,ASSESSMENT_DATE_START,ASSESSMENT_TITLE,ASSESSMENT_TYPE,GRADE
886747,13,2280,284,2021,1,2020-03-05 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,0
886979,1168,2275,284,2021,1,2020-03-03 00:00:00,Segunda Lista de Exercícios,1,0.555556
886980,1168,2303,284,2021,1,2020-06-04 00:00:00,Testando,1,0
886983,3113,2275,284,2021,1,2020-03-03 00:00:00,Segunda Lista de Exercícios,1,0
886985,3806,2275,284,2021,1,2020-03-03 00:00:00,Segunda Lista de Exercícios,1,0
887171,13,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,5
887176,5613,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
903677,4605,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,0
906274,4571,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,0
909077,2838,2602,284,2021,1,2021-03-01 00:00:00,[Não Importar] Apenas um teste,1,10
909078,2838,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
920228,2841,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,5.625
924157,5808,2602,284,2021,1,2021-03-01 00:00:00,[Não Importar] Apenas um teste,1,1.15385
936837,3595,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
940126,5809,2259,284,2021,1,2020-03-08 00:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
948819,2841,2629,284,2021,1,2022-03-30 09:00:00,Apenas um teste em C,2,10
948825,5809,2629,284,2021,1,2022-03-30 09:00:00,Apenas um teste em C,2,10
963514,3595,2602,284,2021,1,2021-03-01 00:00:00,[Não Importar] Apenas um teste,1,1.15385
978192,5809,2602,284,2021,1,2021-03-01 00:00:00,[Não Importar] Apenas um teste,1,10
980033,1168,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
1026075,5809,2642,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 2,1,0
1026076,5809,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
1027145,3595,2629,284,2021,1,2022-03-30 09:00:00,Apenas um teste em C,2,10
1027146,3595,2642,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 2,1,0
1027147,3595,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
1079939,4571,2642,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 2,1,0
1079940,4571,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
1165385,2841,2602,284,2021,1,2021-03-01 00:00:00,[Não Importar] Apenas um teste,1,5
1165386,2841,2642,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 2,1,3.07692
1166615,1168,2642,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 2,1,0
1167783,5613,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
1168631,4605,2643,284,2021,1,2021-04-01 00:00:00,[Não Importar] Apenas um teste 3,1,0
