ID,DATE_START,SEMESTER_ID,CLASS_ID,USER_ID,CONSISTENCY,ASSESSMENT_TYPE,ASSESSMENTS_ID,EXERCISE_ID,STRENGTH,CERTIFIER,ASSERTIV_VALUE,CNT_CHARS,CNT_KEYSTROKES
1,2023-03-27,2022-2,485,1242,True,Lab 1,4399,2895,Strong,1.0,0.8726114649681529,137,157
2,2023-03-27,2022-2,485,1242,True,Lab 1,4399,2938,Strong,1.0,0.9680851063829787,182,188
3,2023-03-27,2022-2,485,1242,True,Lab 1,4399,4236,Strong,1.0,0.9696969696969697,192,198
4,2023-04-05,2022-2,485,1242,True,TP 1,4452,1365,Strong,1.0,0.8941176470588236,152,170
5,2023-04-05,2022-2,485,1242,True,TP 1,4452,5170,Strong,1.0,0.6061946902654868,137,226
6,2023-04-05,2022-2,485,1242,True,TP 1,4452,5921,Strong,1.0,0.9090909090909091,50,55
7,2023-04-05,2022-2,485,1242,True,TP 1,4452,5932,Strong,1.0,0.275,132,480
8,2023-04-15,2022-2,485,1242,True,Lab 2,4477,1391,Strong,1.0,0.9252873563218391,161,174
9,2023-04-16,2022-2,485,1242,True,Lab 2,4477,1395,Strong,0.0,0.0,196,0
10,2023-04-15,2022-2,485,1242,True,Lab 2,4477,1397,Strong,5.466666666666667,0.0,164,47
11,2023-04-15,2022-2,485,1242,True,Lab 2,4477,2445,Strong,2.02,0.0,202,124
12,2023-04-17,2022-2,485,1242,True,Lab 2,4477,2449,Strong,1.0,0.0,318,629
13,2023-04-15,2022-2,485,1242,True,Lab 2,4477,2703,Strong,1.0,0.9347826086956522,86,92
14,2023-04-15,2022-2,485,1242,True,Lab 2,4477,2969,Strong,0.9885496183206107,0.7154696132596685,259,362
15,2023-04-19,2022-2,485,1242,True,Lab 2,4477,2971,Strong,1.0,0.0,219,241
16,2023-04-17,2022-2,485,1242,True,Lab 2,4477,2972,Strong,1.0,0.9126637554585153,209,229
17,2023-04-17,2022-2,485,1242,True,Lab 2,4477,2973,Strong,1.0,0.8160919540229885,213,261
18,2023-04-16,2022-2,485,1242,True,Lab 2,4477,2975,Strong,1.0,0.8934169278996865,285,319
19,2023-04-16,2022-2,485,1242,True,Lab 2,4477,5955,Strong,0.9935275080906149,0.0,307,654
20,2023-04-20,2022-2,485,1242,True,TP 2,4526,3370,Strong,1.0,0.8805309734513275,199,226
21,2023-04-20,2022-2,485,1242,True,TP 2,4526,5946,Strong,1.0,0.908745247148289,239,263
22,2023-04-20,2022-2,485,1242,True,TP 2,4526,5998,Strong,1.0,0.7861271676300579,136,173
23,2023-04-20,2022-2,485,1242,True,TP 2,4526,6014,Strong,1.0,0.7283950617283951,177,243
24,2023-05-07,2022-2,485,1242,True,Lab 3,4553,1117,Strong,1.8074639525021203,0.0,2131,1572
25,2023-05-07,2022-2,485,1242,True,Lab 3,4553,1487,Strong,1.0,0.928266438941076,1087,1171
26,2023-05-07,2022-2,485,1242,True,Lab 3,4553,3039,Strong,1.0,0.0,254,820
27,2023-05-07,2022-2,485,1242,True,Lab 3,4553,3056,Strong,1.0,0.9226006191950464,298,323
28,2023-05-07,2022-2,485,1242,True,Lab 3,4553,5233,Strong,1.0,0.6654411764705882,181,272
29,2023-05-07,2022-2,485,1242,True,Lab 3,4553,5239,Strong,1.0,0.9385665529010239,275,293
30,2023-05-07,2022-2,485,1242,True,Lab 3,4553,5241,Strong,1.0,0.9273356401384083,268,289
31,2023-05-07,2022-2,485,1242,True,Lab 3,4553,5259,Strong,1.0,0.8010752688172043,298,372
32,2023-05-07,2022-2,485,1242,True,Lab 3,4553,6093,Strong,1.0,0.0,915,1266
33,2023-05-07,2022-2,485,1242,True,Lab 3,4553,6094,Strong,1.0,0.8223140495867769,398,484
34,2023-05-07,2022-2,485,1242,True,Lab 3,4553,6095,Strong,1.0,0.936,234,250
35,2023-05-07,2022-2,485,1242,True,Lab 3,4553,6104,Strong,1.0,0.8333333333333334,215,258
36,2023-05-08,2022-2,485,1242,True,TP 3,4610,6075,Strong,1.1686746987951808,1.0,97,88
37,2023-05-08,2022-2,485,1242,True,TP 3,4610,6124,Strong,1.0086580086580086,0.9708333333333333,233,240
38,2023-05-08,2022-2,485,1242,True,TP 3,4610,6150,Strong,1.102189781021898,1.0,151,141
39,2023-05-08,2022-2,485,1242,True,TP 3,4610,6175,Strong,1.074468085106383,0.9181818181818182,202,220
40,2023-05-21,2022-2,485,1242,True,Lab 4,4629,6042,Strong,1.0,0.0,141,808
41,2023-03-27,2022-2,485,1946,True,Lab 1,4399,2895,Strong,1.0,0.7407407407407407,200,270
42,2023-04-03,2022-2,485,1946,False,Lab 1,4399,2938,Strong,1.0,0.0,153,153
43,2023-04-05,2022-2,485,1946,True,TP 1,4452,1364,Strong,1.0,0.8577981651376146,187,218
44,2023-04-05,2022-2,485,1946,True,TP 1,4452,5172,Strong,0.9939759036144579,0.4084158415841584,165,404
45,2023-04-05,2022-2,485,1946,True,TP 1,4452,5924,Strong,1.0,0.6446280991735537,78,121
46,2023-04-05,2022-2,485,1946,True,TP 1,4452,5930,Strong,1.0,0.734375,94,128
47,2023-04-12,2022-2,485,1946,True,Lab 2,4477,1391,Strong,1.0,0.4266666666666667,224,525
48,2023-04-17,2022-2,485,1946,True,Lab 2,4477,1395,Strong,1.0,0.5509259259259259,238,432
49,2023-04-12,2022-2,485,1946,True,Lab 2,4477,1397,Strong,1.0,0.6788732394366197,241,355
50,2023-04-12,2022-2,485,1946,True,Lab 2,4477,2445,Strong,1.0,0.35130970724191063,228,649
51,2023-04-10,2022-2,485,1946,True,Lab 2,4477,2703,Strong,1.0,0.8703703703703703,94,108
52,2023-04-12,2022-2,485,1946,True,Lab 2,4477,2969,Strong,1.0,0.3177083333333333,305,960
53,2023-04-17,2022-2,485,1946,True,Lab 2,4477,2975,Strong,1.0,0.42359550561797754,377,890
54,2023-04-17,2022-2,485,1946,False,Lab 2,4477,5955,Strong,1.0,0.0,654,1012
55,2023-04-20,2022-2,485,1946,True,TP 2,4526,3370,Strong,1.0,0.6835820895522388,229,335
56,2023-04-20,2022-2,485,1946,True,TP 2,4526,5951,Strong,1.0,0.5161744022503516,367,711
57,2023-04-20,2022-2,485,1946,True,TP 2,4526,6000,Strong,1.0,0.6495327102803738,139,214
58,2023-04-20,2022-2,485,1946,True,TP 2,4526,6011,Strong,1.0,0.8168498168498168,223,273
59,2023-04-26,2022-2,485,1946,True,Lab 3,4553,3056,Strong,1.0,0.2875226039783002,318,1106
60,2023-04-24,2022-2,485,1946,True,Lab 3,4553,5233,Strong,1.0,0.331511839708561,182,549
61,2023-04-26,2022-2,485,1946,False,Lab 3,4553,5241,Strong,1.0,0.0,472,634
62,2023-04-24,2022-2,485,1946,True,Lab 3,4553,5259,Strong,1.0,0.42694300518134715,412,965
63,2023-05-08,2022-2,485,1946,True,TP 3,4610,3037,Strong,1.0,0.7857142857142857,143,182
64,2023-05-08,2022-2,485,1946,True,TP 3,4610,6071,Strong,1.0178571428571428,0.4596774193548387,114,248
65,2023-05-08,2022-2,485,1946,True,TP 3,4610,6111,Strong,1.0,0.8149171270718232,295,362
66,2023-05-08,2022-2,485,1946,True,TP 3,4610,6150,Strong,1.0,0.6291793313069909,207,329
67,2023-03-22,2022-2,485,4282,True,Lab 1,4399,2895,Strong,1.0,0.8791946308724832,131,149
68,2023-03-22,2022-2,485,4282,True,Lab 1,4399,2938,Strong,1.0,0.7951219512195122,163,205
69,2023-03-22,2022-2,485,4282,True,Lab 1,4399,4236,Strong,1.0,0.9289340101522843,183,197
70,2023-04-05,2022-2,485,4282,True,TP 1,4452,1364,Strong,1.0,0.9770992366412213,128,131
71,2023-04-05,2022-2,485,4282,True,TP 1,4452,5169,Strong,1.0222222222222221,0.9387755102040817,92,98
72,2023-04-05,2022-2,485,4282,True,TP 1,4452,5918,Strong,1.0,0.9833333333333333,59,60
73,2023-04-05,2022-2,485,4282,True,TP 1,4452,5935,Strong,1.0,0.7593984962406015,101,133
74,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1391,Strong,1.0,0.6602564102564102,206,312
75,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1395,Strong,1.0101522842639594,0.5685714285714286,199,350
76,2023-04-11,2022-2,485,4282,True,Lab 2,4477,1397,Strong,1.0,0.8853211009174312,193,218
77,2023-04-11,2022-2,485,4282,True,Lab 2,4477,2445,Strong,1.0,0.7636363636363637,252,330
78,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2449,Strong,1.0,0.7077363896848138,247,349
79,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2703,Strong,1.0,0.8764044943820225,78,89
80,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2967,Strong,1.0,0.696875,223,320
81,2023-04-11,2022-2,485,4282,True,Lab 2,4477,2969,Strong,1.0,0.7559055118110236,288,381
82,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2970,Strong,1.0,0.9,144,160
83,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2971,Strong,1.0,0.7680608365019012,202,263
84,2023-04-10,2022-2,485,4282,True,Lab 2,4477,2972,Strong,1.0,0.8578199052132701,181,211
